"Data Source","World Development Indicators",

"Last Updated Date","2026-07-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Coal rents (% of GDP)","NY.GDP.COAL.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","",
"Africa Eastern and Southern","AFE","Coal rents (% of GDP)","NY.GDP.COAL.RT.ZS","","","","","","","","","","","","0.650201255312412","0.654791428231859","0.646852641407139","0.962913017371166","1.88727264684617","2.19291106711122","2.21158983096955","1.95246289279541","1.93525413832714","1.9315992378883","2.85280794091015","3.36557523492593","2.17008721855636","2.14244824246029","2.92129767605344","2.10175345363239","1.25589291406915","1.39691810066128","1.51968779533103","1.38503629867431","1.24660439215703","1.25889595907429","0.993532178148264","1.03608954229711","1.37308031514128","1.21637824731706","1.00082308433342","0.804163989069074","0.547423860259005","0.720265276798836","1.3583004715419","0.853560155298803","0.785952474787823","1.94571347310445","1.35322198687066","1.30802076146868","1.61642842020507","3.30301316049106","1.10231332291293","1.71503460303965","1.97803967851614","1.36294411972433","1.07553038932194","0.798064949754394","0.611266547630711","0.746229943669281","0.914497649277569","1.02596971761092","0.745498243716178","0.630115503977329","1.01078985782128","","","","",
"Afghanistan","AFG","Coal rents (% of GDP)","NY.GDP.COAL.RT.ZS","","","","","","","","","","","","","","","","","","","","","0.0515118681579856","0.0870233499866114","","","","","","","","","","","","","","","","","","","","","0.00465001997676017","0.00747274848408489","0.0165437838421436","0.0109135244434021","0.0112063527032708","0.0770462649096367","0.221132916238516","0.128832445822436","0.215322628919275","0.481711529177581","0.26623044263315","0.237665574938235","0.22737000694477","0.163204860716174","0.249916790607737","0.40234480168601","0.541363923742697","0.334119584032567","0.00700147458719358","0.0193977562950517","","","","",
"Africa Western and Central","AFW","Coal rents (% of GDP)","NY.GDP.COAL.RT.ZS","","","","","","","","","","","","","0.00720329991827081","0.00672194105414292","0.00749531384392591","0.00944291934111109","0.00468966453387829","0.00692683114600666","0.00607458521553731","0.0039377779859643","0.0785619589103135","0.0505372783536133","0.0655928253085579","0.0983826740152394","0.0971759885207009","0.0842511377218345","0.0648747588762813","0.174591122050645","0.17711975316817","0.238648601478026","0.202777258472676","0.187737908706522","0.173858789412543","0.136150729010337","0.11065392671761","0.0902764762339625","0.0742775754780411","0.0684142917707643","0.0564234677101708","0.0869346780165189","0.0902573100909422","0.120849916847805","0.0929256927697363","0.0753985551293442","0.115179322695078","0.135885564256257","0.118940082435407","0.0973344693345909","0.226652350486306","0.114584321042785","0.142948005265597","0.168348868663906","0.0854502326528729","0.053159447794458","0.0371774275217326","0.028139207706263","0.0338083072901482","0.0464710532940209","0.0509611325090529","0.0345335968316099","0.0257586168667714","0.0411785211389611","","","","",
"Angola","AGO","Coal rents (% of GDP)","NY.GDP.COAL.RT.ZS","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","",
"Albania","ALB","Coal rents (% of GDP)","NY.GDP.COAL.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","0.368325704185594","0.556625381865033","0.152296785525418","0.048179542902903","0.0768914986372058","0.0909233961034251","0.224522159849684","0.204305952237496","0.0679486013181908","0.00238607117362082","0.00155794767636278","0.00286290828495024","0.00175245195964824","0.000369490505513321","0.000793889768500678","0.000126575495826512","0.00063462371627779","0.00132843174013712","0.000288281866863831","0.000914899138369364","0.00683461126427363","0.00307121885230359","0.00293509452543288","0.00404295611219972","0.0139175166136866","0.000716939372939698","0.00137213315627755","0.000778501153028553","0.000344303375981144","0.000102472015384904","0","0.00598268561789345","0.000391513069921201","0.0175811937920141","0.0379024712234031","0.00880735103673773","0.010128655381407","0.0322572749578343","","","","",
"Andorra","AND","Coal rents (% of GDP)","NY.GDP.COAL.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Coal rents (% of GDP)","NY.GDP.COAL.RT.ZS","","","","","","","","","","","","0.00081640782249321","0.00104571120175443","0.00139976874381344","0.00285315132557989","0.00747555108450242","0.00475254389622694","0.00420184806862131","0.00319400065291523","0.00288930255251825","0.0218301555006585","0.0267949838759722","0.0334508775108326","0.0364725929241526","0.0290763190618957","0.0263206983748876","0.0197513713297222","0.0132587269662403","0.00998151314761613","0.0146420085725204","0.01127633728238","0.0145076764340051","0.0123320256829903","0.00948581485899583","0.00683390346770677","0.00891794041315031","0.00910423261338166","0.00837835591598343","0.00888630985405919","0.00579526682972528","0.00481012752987645","0.00615366635098009","0.00654810335607843","0.00524168425310808","0.00583936744717583","0.0100287601298758","0.00967058062450198","0.00588806491126505","0.0158531285607794","0.0105604230687225","0.0118894957820838","0.0132093434429981","0.00577945669398236","0.00408229885036305","0.00336151449945022","0.00245188645327338","0.00232096801012013","0.00327178172507096","0.00284272114300285","0.0021005057221043","0.00163950785200042","0.0021249558253238","","","","",
"United Arab Emirates","ARE","Coal rents (% of GDP)","NY.GDP.COAL.RT.ZS","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","",
"Argentina","ARG","Coal rents (% of GDP)","NY.GDP.COAL.RT.ZS","","","","","","","","","","","","0","0","5.45451001655193E-05","0.00215138144404738","0.00941338328263084","0.0119643758535321","0.00954400501006073","0.00598945921408958","0.0079958025301522","0.00698215024959095","0.0162221253207305","0.0166465635535402","0.00617869381949806","0.00562659946595785","0.00502025243824461","0.00160405692017598","0","0.000711841687555627","0.003105357376128","0.00101494097565132","0.00074100817530841","0.000228519779511391","0","0","0.000297086161312322","4.09155974885757E-05","0","0","0","0","0.000105262139048161","0","1.55229412714307E-08","0.000589833612996575","0.00014649815944316","0.000493514077944306","0.00093828300809848","0.00178004516890595","0.000405148913247297","0.000565427392479258","0.000916237380871877","0.000602582816122011","0.000403415290181379","0.000240146435852241","9.86419365883691E-05","8.00634259462361E-05","7.90800456830933E-05","0.000348869953405893","0.000523970165766831","9.62586968364024E-05","0.000157746419195732","","","","",
