term,coef,se_classic,p_classic,se_hc3,p_hc3,se_cluster,p_cluster
const,-0.013543244659906063,0.00645870144535717,0.0364448898006446,0.007172203151335466,0.058986184021479,0.010435264391398509,0.1943442605153457
major_fossil_economy,0.021818998761672724,0.014196833135218568,0.12487759101964227,0.008893564166285077,0.014153374342584325,0.01142036786178851,0.05606451927942476
mentions_per_1k,-0.012945603113057908,0.01107122871105446,0.2427735462514488,0.017491406981668907,0.4592319370397764,0.01734380564398353,0.4554193226907288
net_caution,0.06523868881754465,0.07648580241757463,0.3940462961940918,0.08241833490336815,0.42861988500019677,0.06687503076483124,0.32929676040951694
mentions_x_major,0.016073852197492508,0.02209933430919353,0.46731451980124183,0.01908060626954565,0.3995538443876312,0.019501392863589484,0.40980249979109373
caution_x_major,-0.08187558808015007,0.10822309971431553,0.4496370444150566,0.08551127505856451,0.3383235470805134,0.06735155528350302,0.22412014642382094
