model,tuned_parameters,cv_rmse,test_rmse,test_mae,test_r2
Baseline (training mean),-,0.14772469358583232,0.13866014976155766,0.08834179193794345,-0.005808276843293658
"Linear regression, group flag only",-,0.14751329529830884,0.13802389636517512,0.08767496873896717,0.0034010122630157014
Linear regression,-,0.1531698155730469,0.14167554302002913,0.08982385185855903,-0.050029854364501025
Ridge regression,alpha=10000,0.14775725580890262,0.13871428516859352,0.08828083988422988,-0.006593801302300584
Random forest,"max_depth=5, min_samples_leaf=20",0.14907340385825305,0.13842818762835896,0.08787868926337103,-0.0024458935737501353
