"Data Source","World Development Indicators",

"Last Updated Date","2026-07-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Natural gas rents (% of GDP)","NY.GDP.NGAS.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","",
"Africa Eastern and Southern","AFE","Natural gas rents (% of GDP)","NY.GDP.NGAS.RT.ZS","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0.00119176760093531","0.000720253868921435","0.000265417220843125","0.000872028751651459","0.00103786264007573","0.00120950633655586","0.00146872982657318","0.00116971674760827","0.000931563155047932","0.00110446960860027","0.0159590503899719","0.0130050327665456","0.0137451795851211","0.0188536766992031","0.0197033776695401","0.0204133129211374","0.0197755143901995","0.0171458848076586","0.0117720236355505","0.0167147710770919","0.0258467386205443","0.0386152546194005","0.0370044144684682","0.0219873750949312","0.0398560129158653","0.0234597000544963","0.064868112988287","0.0554355113812086","0.0635382274300653","0.0514984603458085","0.0543972390508902","0.0681855828106606","0.0749108258476166","0.0765884256831854","0.0680283529680203","0.0592149012363063","0.051729063857535","0.0820763816805248","0.131963706375788","0.128010815818215","0.104960553370239","0.149822313975773","","","","",
"Afghanistan","AFG","Natural gas rents (% of GDP)","NY.GDP.NGAS.RT.ZS","","","","","","","","","","","0.565894962471447","0.645741697314356","0.741465718591879","0.829717882168702","0.897242371554401","1.33344928055424","1.40510706132468","1.39269094424288","0.849953626105317","0.57616563239498","0.565203899013619","0.111868106068871","","","","","","","","","","","","","","","","","","","","","0.231561307228384","0.036729700085138","0.0283021705785469","0.0230939370293463","0.0175735938615238","0.0140511789653461","0.0162665856535653","0.0102634444245309","0.0403224481935062","0.0451518313015526","0.0464655939898396","0.0341687943179892","0.00462181980835445","0.0021525915335507","0.00213017870477219","0.00193733204041791","0.00151202723141628","0.00152718893968035","0.00134755113216414","0.00195353922210792","","","","",
"Africa Western and Central","AFW","Natural gas rents (% of GDP)","NY.GDP.NGAS.RT.ZS","","","","","","","","","","","","","","0.01204345324127","0.0188016318959377","0.0207791928879465","0.0180274792123008","0.0195677337281217","0.0214123445758702","0.0323570129000873","0.0360747286821277","0.0155146938107064","0.00718912615451862","0.0355317154019716","0.0403273190146479","0.0466537452252167","0.0552640792466124","0.049587021199192","0.0440026704430099","0.0644510608058136","0.0615836157779832","0.073251485650721","0.066965899534571","0.162477210223611","0.184321665314615","0.172536616998666","0.168011242053125","0.166775926733581","0.126626201859737","0.105517357924256","0.303491136149007","0.39606431502022","0.292815107066352","0.426840259726978","0.398438521664508","0.181557336913963","0.49003251878384","0.512038035094325","0.551377935924728","0.407030670116094","0.490067298521684","0.725229092766651","0.745123284566519","0.582412118912158","0.581463691517692","0.494703962594859","0.365041835403397","0.477664368971042","0.685940028391098","0.664901746127826","0.505160752165026","0.862848613717962","","","","",
"Angola","AGO","Natural gas rents (% of GDP)","NY.GDP.NGAS.RT.ZS","","","","","","","","","","","","","","","","","","","","","0.0303698954484592","0.021145838970313","0.00745082956709586","0.0245208531136713","0.0252186249858535","0.020325503782181","0.0294913176962773","0.0250447065518835","0.0209596050513708","0.0227399332838464","0.0795872176902704","0.078435847881649","0.0905957741900589","0.160844205980298","0.221467333218776","0.206519283558313","0.159734205456364","0.158566178380028","0.136441188557766","0.161428826039536","0.196300643661974","0.210594107007388","0.131900390989224","0.135113552616191","0.123797564311738","0.0367077834483982","0.0801485865290752","0.075690352036519","0.0566358779076589","0.0619194883478922","0.0633424630809303","0.0704815977652541","0.0646914683950498","0.0689984474570451","0.0508980853938274","0.0604405605969015","0.158766315983972","0.476162010407452","0.74554243174425","0.814083850645771","0.876758383885871","1.01234906054638","","","","",
"Albania","ALB","Natural gas rents (% of GDP)","NY.GDP.NGAS.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","0.480087182712261","0.429410237184159","0.392760293749113","0.207890285277707","0.198466812038451","0.156546254770579","0.199187474772875","0.151694214692069","0.0984135087821083","0.0967423101475636","0.0376780789926274","0.0291496090693974","0.0174110710674192","0.0212292713268089","0.00222643541637826","0.00168005565496385","0.00703462737907052","0.010399353794783","0.0117918086634504","0.00919522316755073","0.0048676691156837","0.00402406818681407","0.00813351635635809","0.0111900092211739","0.00841142402522897","0.00648099662098859","0.00925242566622937","0.0136576272780024","0.0164608412977661","0.0171746839867787","0.0201834576696399","0.019112954317569","0.0139612587019387","0.0188963304814835","0.022458616306127","0.0273613999739918","0.0098718761210861","0.049458339903858","","","","",
"Andorra","AND","Natural gas rents (% of GDP)","NY.GDP.NGAS.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Natural gas rents (% of GDP)","NY.GDP.NGAS.RT.ZS","","","","","","","","","","","","0.183295336395563","0.200204718752599","0.189969562603036","0.109619539381104","0.215567960595765","0.195994346367091","0.235156950584861","0.322996114394178","0.53150325086562","0.352772659068827","0.360049488302319","0.160833183924481","0.634479417469297","0.641215469746689","0.675374941648709","0.841077597586094","0.783143202702814","0.857085599120646","0.858274473372236","0.663138181397078","0.903587883315731","0.944463433686143","0.991362843931836","1.02829339482305","1.11851843203428","1.18759251350197","1.27565903854584","1.29605741377314","1.16824403053333","1.39840866688866","1.72497409477134","1.53669696069003","1.38945983396083","1.33742841742861","1.56581131271222","1.59051168709212","1.48138170796646","1.31677518617765","1.60969268584614","1.40810033549132","1.59908550716921","1.60219138977224","1.60093365305366","1.49112164988725","1.26401604448213","1.00022650946056","1.21063938152666","1.77156586952538","1.73353131738784","1.95416063304675","2.7980428299625","","","","",
"United Arab Emirates","ARE","Natural gas rents (% of GDP)","NY.GDP.NGAS.RT.ZS","","","","","","","","","","","","","","","","0.163466506683093","0.148005538855027","0.281350586820016","0.49838179224681","0.641714769412177","0.425602042225653","0.371555229070157","0.131548058305729","0.586418700981653","0.683106149097478","0.95386591130851","1.353966078348","1.41052878408729","1.39749832676632","1.47072835344582","1.28679743521128","1.42278115751413","1.44489185742813","1.34984304373982","1.29651248840557","1.52774715570848","1.60805442765848","1.71580198382946","1.69523548425714","1.48019075248212","1.5402537160529","1.79003505598156","1.59217479022602","1.40024746926002","1.3026745340904","1.39252709986089","1.32306915187906","1.21877202510384","1.04274122887812","1.29504191176003","1.09696752906347","1.17972038186238","1.14944917707313","1.13311451584915","1.02785418598527","0.944063472144973","0.724598673737908","0.82907663794894","1.08759822581719","1.21418377523218","1.47800034393077","1.96089498612487","","","","",
"Argentina","ARG","Natural gas rents (% of GDP)","NY.GDP.NGAS.RT.ZS","","","","","","","","","","","0.0056850188122777","0.00945431127752581","0.00914103941323704","0.00646767115433155","0.0374907502519704","0.103099296421199","0.0988380204642832","0.00681124973798209","0.0162548951741007","0.0850475621025231","0.1966017224325","0.144536391472678","0.0328048780293968","0.161123885827592","0.263237654828575","0.232273336449674","0.169715743996771","0.121268074864062","0.112903764731897","0.257531904139602","0.156002201280318","0.105217488837536","0.0791319167057277","0.101191566049317","0.0832982540170027","0.0810388224069918","0.084701578486069","0.0820948873528113","0.07155227159531","0.145370116357675","0.282821013547511","0.29987415057312","0.646827117703421","0.415641192852899","0.333214519684995","0.518722288899288","0.633332833614627","0.605509596028324","0.513205960913271","0.5753366974209","0.309484878442217","0.538827310390617","0.544036864497816","0.5571291088583","0.535325276913858","0.246808228645021","0.119238339223091","0.132192711472979","0.401322114717452","0.523559339823675","0.298269697229754","0.389397123451652","","","","",
